a,b,gcd,step,time_ms
1953772011533598724,-8873725624976214708,4,37,15
2063260254144811984,1062149241501791407,1,36,9
4951593721196261718,1198721279029831638,6,32,8
1254925772812521368,3435740695383125017,1,45,14
1848330008385484969,1021657878768242492,1,34,8
8093186550235432704,-2765732533213891103,1,42,11
6175242173037418429,9008830917957867469,1,46,11
-8556103052876496779,2437406857016891829,1,36,9
-5518474099399160614,-7854439264450156097,1,45,11
-3650619879510042320,7507247852629569577,1,51,12
4739554065602260228,1287132248374015156,4,34,9
3299981465749637546,8514336418731380018,2,49,13
-2634520269872234818,5930009301637992211,1,33,9
1164668781734252805,-1155106516849559255,5,35,9
3859859752975847698,4216288247143153500,22,30,8
-7956523718186720381,6563994973929071135,1,42,11
2472227986279214091,4564803483625738189,1,41,10
1995735055461702088,-8535647746146137932,4,37,10
8871463721185134578,7212989608815692382,2,40,10
-3009283267696490873,-6777498370870898489,1,33,8
-198050826760738079,-4817299121259863689,1,43,11
-6021386081316784454,8838702069320349349,1,42,10
3652837431176326061,1689666002718896962,1,38,9
6102195642098740080,5770227816731736528,48,39,10
-3262835840396504682,1347437744611528718,2,37,9
4596932775807931065,6878490504741618304,1,32,9
-1794856634840614262,-3865444814857361709,1,36,9
-819684517646514722,-732159268495966232,2,37,9
5144206250923829335,945224375159169429,1,32,8
5937930001866537625,6143162249932205119,1,37,9
-5901089970926248737,-6689418276569096348,1,36,10
2865122390732314248,2173988725373797548,12,32,7
4415325225510938198,8932965264738454253,1,39,9
-6134878752578961573,2889080841259333561,1,46,11
7340423532839472960,5676988189602578939,1,43,11
5703711132062388994,3303898322906451710,2,43,10
6648850678520901645,6198679768542990306,3,43,10
1330848807749745353,-2104760308503750328,1,37,9
195611097075663944,6870077870361612183,1,35,8
8303737915816074702,1144478650937108741,1,39,9
8161872990162172617,5171040377825239345,1,43,10
-7943421917712589690,1408189838586729638,2,43,10
-8759707418100022183,8589586881021257574,1,39,10
-1886201949406899865,918789774586163763,1,33,8
1117741867710565254,-2949033062058218305,1,40,10
-4745880506664809005,1127416107165679858,1,48,12
6050577079492727390,2763197589131063491,1,49,11
1867604662594167931,2130025365684407470,1,38,9
-2240215596511511550,4733426038506725405,5,41,10
7021766827080374232,5492096741242838816,8,37,8
6565659196997006661,-4130635734029698640,1,37,9
8235872915250956066,4459217806764675825,13,38,9
332298478525284790,-7912174667996440118,2,40,10
5087511964167756721,-4762659834411615757,1,34,8
-8866489271950490326,-4349934646790579366,2,33,8
-590430077864908438,1118188835483267470,2,33,8
9063853759602372040,-4017557188798030709,1,44,11
4979466812644538688,-4205778045066548859,3,38,9
-3471560421153561623,6790039008419454921,1,40,9
2136232823363613406,-8173834495022022804,2,38,9
226370150213114929,8022675450333865158,1,45,11
700131601373558109,8949151728975498524,157,37,9
4431343937595715265,710374204022873188,1,44,11
7783583536619161211,678080514760543167,1,33,8
4413520105748856898,7875939075782969000,2,47,12
8583816468573724274,6070781918281706540,2,41,15
4926994922403092744,9016743240897853461,1,47,12
9148478560715261700,7056367652012858051,1,37,9
3276877713423397072,3941281149532028211,1,44,11
7372913635913655413,5838309237354864704,1,39,10
-1529859242161478768,-2771484192951911236,4,34,8
6466520862833175465,-7568566453673715707,1,47,11
1945090585832872241,8443009120137251179,1,46,10
6906393015370032392,573496853686237442,26,32,7
-4190827557408163271,4906315190678156601,1,32,7
-9009579734073796967,8421590010375428086,1,35,8
-4302161387647049431,4765933084838664651,1,42,11
-7499722607711060133,-7174858156906068968,1,39,10
1614810270885854594,8106127155515691747,1,36,9
1601992813363200602,-5782811139299547881,1,39,9
3314259130812157482,4407333809999565238,2,32,8
7393357363285732826,7851531626642177965,1,38,9
-3462179985192988452,1893958614512843436,12,39,10
5836718505637291663,2673411502520594519,1,43,10
2044580242782715909,7133475149934043748,1,41,10
7219452322809126001,2461100416752659674,1,32,8
8617892917451644574,-4649331453348565065,1,43,11
-6515307425924197916,-7092862881287197409,1,38,9
3587299528985851728,-2905982921677023855,213,33,8
5756618561471086866,-2681848591329116525,1,43,9
3887566014638408089,-2906733307762480998,1,43,10
8984838054079684270,-2621045839280551336,2,40,10
3372406503073747075,-8483068128089115828,1,49,12
-3649212432266074195,5773590427055009903,1,38,9
2787731562737156210,489182047239154815,35,40,10
6191529856669301007,5003386805180473811,1,41,10
5107504758318583142,7573959975982195068,2,44,11
-4218436127565883505,6157824947989783017,1,33,8
842284651368705603,5231678843040168368,1,43,11
430478485104309133,-1909178607328712221,1,38,9
